T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522326183710,1522326183854,1522326183854,1522326183946
1522326183946,1522326184097,1522326184097,1522326184185
1522326184185,1522326184327,1522326184327,1522326184414
1522326184414,1522326184555,1522326184555,1522326184641
1522326184641,1522326184783,1522326184783,1522326184870
1522326184870,1522326185012,1522326185012,1522326185098
1522326185098,1522326185243,1522326185243,1522326185329
1522326185330,1522326185473,1522326185473,1522326185559
1522326185559,1522326185703,1522326185703,1522326185789
1522326185789,1522326185931,1522326185931,1522326186017
1522326186018,1522326186160,1522326186160,1522326186250
1522326186250,1522326186399,1522326186399,1522326186485
1522326186485,1522326186629,1522326186629,1522326186715
1522326186715,1522326186859,1522326186859,1522326186945
1522326186945,1522326187086,1522326187087,1522326187177
1522326187177,1522326187323,1522326187323,1522326187409
1522326187409,1522326187552,1522326187552,1522326187642
1522326187642,1522326187785,1522326187785,1522326187871
1522326187871,1522326188015,1522326188015,1522326188102
1522326188102,1522326188245,1522326188245,1522326188340
1522326188340,1522326188490,1522326188490,1522326188576
1522326188576,1522326188721,1522326188721,1522326188807
1522326188807,1522326188949,1522326188949,1522326189035
1522326189035,1522326189180,1522326189180,1522326189266
1522326189266,1522326189408,1522326189408,1522326189494
1522326189494,1522326189638,1522326189638,1522326189725
1522326189725,1522326189871,1522326189871,1522326189958
1522326189958,1522326190102,1522326190102,1522326190188
1522326190188,1522326190333,1522326190333,1522326190419
1522326190419,1522326190571,1522326190571,1522326190658
1522326190658,1522326190802,1522326190802,1522326190889
1522326190889,1522326191034,1522326191034,1522326191121
1522326191121,1522326191265,1522326191265,1522326191356
1522326191356,1522326191508,1522326191508,1522326191594
1522326191594,1522326191739,1522326191740,1522326191826
1522326191826,1522326191973,1522326191973,1522326192060
1522326192060,1522326192204,1522326192204,1522326192290
1522326192290,1522326192429,1522326192429,1522326192516
1522326192516,1522326192664,1522326192664,1522326192752
1522326192752,1522326192895,1522326192895,1522326192981
1522326192981,1522326193124,1522326193124,1522326193210
1522326193210,1522326193353,1522326193354,1522326193440
1522326193440,1522326193587,1522326193587,1522326193674
1522326193674,1522326193819,1522326193819,1522326193906
1522326193906,1522326194048,1522326194049,1522326194136
1522326194136,1522326194279,1522326194279,1522326194366
1522326194366,1522326194512,1522326194512,1522326194604
1522326194604,1522326194750,1522326194750,1522326194836
1522326194836,1522326194980,1522326194980,1522326195066
1522326195066,1522326195212,1522326195212,1522326195298
1522326195298,1522326195444,1522326195444,1522326195530
1522326195531,1522326195673,1522326195673,1522326195759
1522326195759,1522326195902,1522326195902,1522326195988
1522326195988,1522326196133,1522326196134,1522326196220
1522326196220,1522326196362,1522326196362,1522326196448
1522326196448,1522326196586,1522326196586,1522326196673
1522326196673,1522326196815,1522326196815,1522326196901
1522326196901,1522326197046,1522326197046,1522326197132
1522326197132,1522326197275,1522326197275,1522326197362
1522326197362,1522326197506,1522326197506,1522326197592
1522326197592,1522326197734,1522326197734,1522326197831
1522326197831,1522326197975,1522326197975,1522326198061
1522326198061,1522326198206,1522326198206,1522326198293
1522326198293,1522326198436,1522326198436,1522326198522
1522326198522,1522326198664,1522326198664,1522326198750
1522326198750,1522326198894,1522326198894,1522326198980
1522326198980,1522326199128,1522326199128,1522326199214
1522326199214,1522326199357,1522326199357,1522326199443
1522326199443,1522326199589,1522326199589,1522326199675
1522326199675,1522326199823,1522326199823,1522326199911
1522326199911,1522326200049,1522326200049,1522326200135
1522326200135,1522326200280,1522326200280,1522326200451
1522326200451,1522326200595,1522326200595,1522326200759
1522326200759,1522326200904,1522326200904,1522326201066
1522326201066,1522326201209,1522326201209,1522326201373
1522326201373,1522326201516,1522326201516,1522326201679
1522326201680,1522326201824,1522326201824,1522326201910
1522326201910,1522326202054,1522326202054,1522326202196
1522326202197,1522326202340,1522326202340,1522326202499
1522326202499,1522326202645,1522326202645,1522326202806
1522326202807,1522326202950,1522326202950,1522326203114
1522326203114,1522326203258,1522326203258,1522326203421
1522326203421,1522326203564,1522326203564,1522326203728
1522326203728,1522326203875,1522326203875,1522326204035
1522326204035,1522326204180,1522326204180,1522326204360
1522326204360,1522326204503,1522326204503,1522326204589
1522326204589,1522326204734,1522326204734,1522326204855
1522326204855,1522326204997,1522326204997,1522326205162
1522326205162,1522326205305,1522326205305,1522326205469
1522326205469,1522326205611,1522326205611,1522326205776
1522326205776,1522326205919,1522326205919,1522326206083
1522326206083,1522326206227,1522326206227,1522326206313
